title,authors_name,conference_name,published_year,school_institution,domain
"```json
{
    ""title"": ""NetCA T: Practical Cache Attacks from the Network""
}
```","{
    ""authors"": ""Michael Kurth, Ben Gras, Dennis Andriesse, Cristiano Giuffrida, Herbert Bos, Kaveh Razavi""
}","{
    ""conference"": ""SP""
}","```json
{
    ""year"": ""2020""
}
```","{
    ""school"": ""Vrije Universiteit Amsterdam, ETH Zurich""
}","```json
{
    ""research_domain"": ""network security""
}
```"
"```json
{
    ""title"": ""(Un)informed Consent: Studying GDPR Consent Notices in the Field""
}
```","```json
{
    ""authors"": ""Christine Utz, Martin Degeling, Sascha Fahl, Florian Schaub, Thorsten Holz""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""school"": ""Ruhr-Universität Bochum, University of Michigan""
}
```","```json
{
    ""research_domain"": ""privacy preserving computation""
}
```"
"{
    ""title"": ""(Un)linkable Pseudonyms for Governmental Databases""
}","```json
{
    ""authors"": ""Jan Camenisch, Anja Lehmann""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2015""
}
```","```json
{
    ""school"": ""IBM Research – Zurich""
}
```","```json
{
    ""research_domain"": ""privacy preserving computation""
}
```"
"{
    ""title"": ""ObliviSync: Practical Oblivious File Backup and Synchronization""
}","```json
{
    ""authors"": ""Adam J. Aviv, Seung Geol Choi, Travis Mayberry, Daniel S. Roche""
}
```","{
    ""conference"": ""NDSS""
}","```json
{
    ""year"": ""2017""
}
```","```json
{
    ""school"": ""United States Naval Academy""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"```json
{
    ""title"": ""SYMTCP: Eluding Stateful Deep Packet Inspection with Automated Discrepancy Discovery""
}
```","```json
{
    ""authors"": ""Zhongjie Wang, Shitong Zhu, Yue Cao, Zhiyun Qian, Chengyu Song, Srikanth V. Krishnamurthy, Kevin S. Chany, Tracy D. Brauny""
}
```","{
    ""conference"": ""NDSS""
}","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""school"": ""University of California, Riverside, U.S. Army Research Lab""
}
```","```json
{
    ""research_domain"": ""network security""
}
```"
"{
    ""title"": ""Interpretable Federated Transformer Log Learning for Cloud Threat Forensics""
}","```json
{
    ""authors"": ""Gonzalo De La Torre Parra, Luis Selveray, Joseph Khouryz, Hector Irizarry, Elias Bou-Harb, Paul Rady""
}
```","```json
{
    ""conference"": ""NDSS""
}
```","```json
{
    ""year"": ""2022""
}
```","```json
{
    ""school"": ""University of the Incarnate Word, The University of Texas at San Antonio, Raytheon Technologies""
}
```","```json
{
    ""research_domain"": ""machine learning for cybersecurity""
}
```"
"```json
{
    ""title"": ""How to Count Bots in Longitudinal Datasets of IP Addresses""
}
```","```json
{
    ""authors"": ""Leon Böck, Dave Levin, Ramakrishna Padmanabhan, Christian Doerr, Max Mühlhäuser""
}
```","```json
{
    ""conference"": ""NDSS""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""school"": ""Telecooperation Lab, Technische Universität Darmstadt, University of Maryland, CAIDA, Hasso Plattner Institute, University of Potsdam""
}
```","```json
{
    ""research_domain"": ""botnet detection""
}
```"
"```json
{
    ""title"": ""Testability Tarpits: the Impact of Code Patterns on the Security Testing of Web Applications""
}
```","```json
{
    ""authors"": ""Feras Al Kassar, Giulia Clerici, Luca Compagna, Fabian Yamaguchi, Davide Balzarotti""
}
```","{
    ""conference"": ""NDSS""
}","```json
{
    ""year"": ""2022""
}
```","```json
{
    ""school"": ""SAP Security Research, ShiftLeft Inc, EURECOM""
}
```","```json
{
    ""research_domain"": ""web application security""
}
```"
"```json
{
    ""title"": ""FedCRI: Federated Mobile Cyber-Risk Intelligence""
}
```","```json
{
    ""authors"": ""Hossein Fereidooni, Alexandra Dmitrienkoy, Phillip Rieger, Markus Miettinen, Ahmad-Reza Sadeghi, Felix Madlener""
}
```","```json
{
    ""conference"": ""NDSS""
}
```","```json
{
    ""year"": ""2022""
}
```","```json
{
    ""school"": ""Technical University of Darmstadt, University of Würzburg, KOBIL""
}
```","```json
{
    ""research_domain"": ""mobile security""
}
```"
"{
    ""title"": ""Hybrid Trust Multi-party Computation with Trusted Execution Environment""
}","```json
{
    ""authors"": ""Pengfei Wuy, Jianting Ning, Jiamin Shen, Hongbing Wang, Ee-Chien Chang""
}
```","{
    ""conference"": ""NDSS""
}","```json
{
    ""year"": ""2022""
}
```","```json
{
    ""school"": ""School of Computing, National University of Singapore, College of Computer and Cyber Security, Fujian Normal University, Institute of Information Engineering, Chinese Academy of Sciences""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"{
    ""title"": ""A Lightweight IoT Cryptojacking Detection Mechanism in Heterogeneous Smart Home Networks""
}","{
    ""authors"": ""Ege Tekiner, Abbas Acar, A. Selcuk Uluagac""
}","{
    ""conference"": ""NDSS""
}","```json
{
    ""year"": ""2022""
}
```","```json
{
    ""school"": ""Florida International University""
}
```","```json
{
    ""research_domain"": ""iot security""
}
```"
"{
    ""title"": ""Hiding My Real Self! Protecting Intellectual Property in Additive Manufacturing Systems Against Optical Side-Channel Attacks""
}","```json
{
    ""authors"": ""Sizhuang Liang, Saman Zonouz, Raheem Beyah""
}
```","```json
{
    ""conference"": ""NDSS""
}
```","{
    ""year"": ""2022""
}","```json
{
    ""school"": ""Georgia Institute of Technology, Rutgers University""
}
```","```json
{
    ""research_domain"": ""information security""
}
```"
"{
    ""title"": ""Towards Precise Reporting of Cryptographic Misuses""
}","```json
{
    ""authors"": ""Yikang Chen, Yibo Liu, Ka Lok Wu, Duc V. Le, Sze Yiu Chau""
}
```","```json
{
    ""conference"": ""NDSS""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""school"": ""The Chinese University of Hong Kong, Arizona State University, Visa Research, University of Bern""
}
```","```json
{
    ""research_domain"": ""cryptographic api misuse detection""
}
```"
"```json
{
    ""title"": ""Understanding and Analyzing Appraisal Systems in the Underground Marketplaces""
}
```","```json
{
    ""authors"": ""Zhengyi Li, Xiaojing Liao""
}
```","{
    ""conference"": ""NDSS""
}","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""school"": ""Indiana University Bloomington""
}
```","```json
{
    ""research_domain"": ""cyber threat intelligence""
}
```"
"{
    ""title"": ""Understanding Route Origin Validation (ROV) Deployment in the Real World and Why MANRS Action 1 Is Not Followed""
}","```json
{
    ""authors"": ""Lancheng Qin, Li Chen, Dan Li, Honglin Ye, Yutian Wang""
}
```","{
    ""conference"": ""NDSS""
}","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""school"": ""Tsinghua University, Zhongguancun Laboratory, BNRist""
}
```","```json
{
    ""research_domain"": ""network security""
}
```"
"```json
{
    ""title"": ""MPCD IFF: Testing and Repairing MPC-Hardened Deep Learning Models""
}
```","```json
{
    ""authors"": ""Qi Pang, Yuanyuan Yuan, Shuai Wang""
}
```","{
    ""conference"": ""NDSS""
}","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""school"": ""Carnegie Mellon University, HKUST""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"{
    ""title"": ""DorPatch: Distributed and Occlusion-Robust Adversarial Patch to Evade Certifiable Defenses""
}","{
    ""authors"": ""Chaoxiang He, Xiaojing Ma, Bin B. Zhu, Yimiao Zeng, Hanqing Hu, Xiaofan Bai, Hai Jin, Dongmei Zhang""
}","```json
{
    ""conference"": ""NDSS""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""school"": ""Huazhong University of Science and Technology, Microsoft""
}
```","```json
{
    ""research_domain"": ""adversarial machine learning""
}
```"
"{
    ""title"": ""Differentially Private Publishing of High-dimensional Data Using Sensitivity Control""
}","```json
{
    ""authors"": ""Wei-Y en Day, Ninghui Li""
}
```","```json
{
    ""conference"": ""ASIA CCS""
}
```","```json
{
    ""year"": ""2015""
}
```","{
    ""school"": ""Purdue University""
}","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"{
    ""title"": ""27 Years and 81 Million Opportunities Later: Investigating the Use of Email Encryption for an Entire University""
}","```json
{
    ""authors"": ""Christian Stransky, Oliver Wiesey, Volker Rothy, Yasemin Acar, Sascha Fahl""
}
```","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2022""
}
```","{
    ""school"": ""Leibniz University Hannover, Freie Universität Berlin, Max Planck Institute for Security and Privacy, CISPA Helmholtz-Center for Information Security""
}","```json
{
    ""research_domain"": ""email encryption""
}
```"
"{
    ""title"": ""28 Blinks Later: Tackling Practical Challenges of Eye Movement Biometrics""
}","```json
{
    ""authors"": ""Simon Eberz, Giulio Lovisotto, Kasper B. Rasmussen, Vincent Lenders, Ivan Martinovic""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""school"": ""University of Oxford, armasuisse""
}
```","```json
{
    ""research_domain"": ""biometrics""
}
```"
"{
    ""title"": ""High Fidelity Data Reduction for Big Data Security Dependency Analyses""
}","```json
{
    ""authors"": ""Zhang Xuy, Zhenyu Wu, Zhichun Li, Kangkook Jee, Junghwan Rhee, Xusheng Xiao, Fengyuan Xu, Haining Wang, Guofei Jiang""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""school"": ""NofutzNetworks Inc., NEC Labs America, Nanjing University, University of Delaware""
}
```","```json
{
    ""research_domain"": ""big data security""
}
```"
"```json
{
    ""title"": ""Identifying Open-Source License Violation and 1-day Security Risk at Large Scale""
}
```","```json
{
    ""authors"": ""Ruian Duan, Ashish Bijlani, Meng Xu, Taesoo Kim, Wenke Lee""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2017""
}
```","{
    ""school"": ""Georgia Institute of Technology""
}","```json
{
    ""research_domain"": ""information security""
}
```"
"{
    ""title"": ""POISED: Spotting Twitter Spam Off the Beaten Paths""
}","```json
{
    ""authors"": ""Shirin Nilizadeh, François Labrèche, Alireza Sedighian, Ali Zand, José Fernandez, Christopher Kruegel, Gianluca Stringhini, Giovanni Vigna""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2017""
}
```","```json
{
    ""school"": ""UC Santa Barbara, Ecole Polytechnique de Montréal, University College London""
}
```","```json
{
    ""research_domain"": ""adversarial social networking""
}
```"
"```json
{
    ""title"": ""MineSweeper: An In-depth Look into Drive-by Cryptocurrency Mining and Its Defense""
}
```","```json
{
    ""authors"": ""Radhesh Krishnan Konoth, Emanuele Vineti, Veelasha Moonsamy, Martina Lindorfer, Christopher Kruegel, Herbert Bos, Giovanni Vigna""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""school"": ""Vrije Universiteit Amsterdam, Utrecht University, TU Wien, UC Santa Barbara""
}
```","```json
{
    ""research_domain"": ""web application security""
}
```"
"{
    ""title"": ""Quantitative Verification of Neural Networks and Its Security Applications""
}","```json
{
    ""authors"": ""Teodora Baluta, Shiqi Shen, Shweta Shinde, Kuldeep S. Meel, Prateek Saxena""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""school"": ""National University of Singapore, University of California, Berkeley""
}
```","```json
{
    ""research_domain"": ""adversarial machine learning""
}
```"
"```json
{
    ""title"": ""Poirot: Aligning Attack Behavior with Kernel Audit Records for Cyber Threat Hunting""
}
```","```json
{
    ""authors"": ""Sadegh M. Milajerdi, Birhanu Eshete, Rigel Gjomemo, V.N. Venkatakrishnan""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""school"": ""University of Illinois at Chicago, University of Michigan-Dearborn""
}
```","```json
{
    ""research_domain"": ""advanced persistent threat detection""
}
```"
"```json
{
    ""title"": ""Preparing Network Intrusion Detection Deep Learning Models with Minimal Data Using Adversarial Domain Adaptation""
}
```","```json
{
    ""authors"": ""Ankush Singla, Elisa Bertino, Dinesh Verma""
}
```","```json
{
    ""conference"": ""ASIA CCS""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""school"": ""Purdue University, IBM, Thomas J. Watson Research Center""
}
```","```json
{
    ""research_domain"": ""network intrusion detection systems""
}
```"
"{
    ""title"": ""EIGER: Automated IOC Generation for Accurate and Interpretable Endpoint Malware Detection""
}","```json
{
    ""authors"": ""Yuma Kurogome, Yuto Otsuki, Yuhei Kawakoya, Makoto Iwamura, Syogo Hayashi, Tatsuya Mori, Koushik Sen""
}
```","```json
{
    ""conference"": ""ACSAC""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""school"": ""NTT Secure Platform Laboratories, NTT Security (Japan) KK, Waseda University, NICT, University of California, Berkeley""
}
```","```json
{
    ""research_domain"": ""malware analysis and detection""
}
```"
"{
    ""title"": ""PDiff: Semantic-based Patch Presence Testing for Downstream Kernels""
}","```json
{
    ""authors"": ""Zheyue Jiang, Yuan Zhang, Jun Xu, Qi Wen, Zhenghe Wang, Xiaohan Zhang, Xinyu Xing, Min Yang, Zhemin Yang""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""school"": ""Fudan University, Stevens Institute of Technology, Pennsylvania State University""
}
```","```json
{
    ""research_domain"": ""operating systems security""
}
```"
"{
    ""title"": ""Filtering DDoS Attacks from Unlabeled Network Traffic Data Using Online Deep Learning""
}","```json
{
    ""authors"": ""Wesley Joon-Wie Tann, Jackie Jin Wei Tan, Joanna Purba, Ee-Chien Chang""
}
```","```json
{
    ""conference"": ""ASIA CCS""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""National University of Singapore""
}
```","```json
{
    ""research_domain"": ""network security""
}
```"
